month,portfolio_excess_pct,symbols,trailing12_mean_pct,status
2017-10,2.678,2,,warmup
2017-11,6.380,2,,warmup
2017-12,26.415,2,,warmup
2018-01,12.938,3,,warmup
2018-02,-10.012,3,,warmup
2018-03,-5.052,3,,warmup
2018-04,-8.098,3,,warmup
2018-05,-2.369,3,,warmup
2018-06,7.177,4,,warmup
2018-07,-3.189,5,,warmup
2018-08,3.043,5,,warmup
2018-09,10.745,5,3.388,ok
2018-10,-9.295,5,2.390,ok
2018-11,17.318,5,3.302,ok
2018-12,-12.313,5,0.074,ok
2019-01,-1.167,5,-1.101,ALARM
2019-02,-2.288,5,-0.457,ALARM
2019-03,13.279,6,1.070,ok
2019-04,3.293,6,2.020,ok
2019-05,18.835,6,3.787,ok
2019-06,22.015,6,5.023,ok
2019-07,-2.042,6,5.119,ok
2019-08,-7.052,6,4.277,ok
2019-09,-2.174,7,3.201,ok
2019-10,-4.707,7,3.583,ok
2019-11,-3.345,7,1.861,ok
2019-12,6.254,7,3.408,ok
2020-01,2.573,7,3.720,ok
2020-02,4.246,7,4.265,ok
2020-03,12.823,7,4.227,ok
2020-04,-2.901,7,3.710,ok
2020-05,2.390,7,2.340,ok
2020-06,-0.709,7,0.446,ok
2020-07,15.312,7,1.893,ok
2020-08,8.848,7,3.218,ok
2020-09,-2.402,7,3.199,ok
2020-10,2.320,8,3.784,ok
2020-11,15.199,8,5.330,ok
2020-12,5.512,8,5.268,ok
2021-01,71.156,8,10.983,ok
2021-02,68.872,8,16.368,ok
2021-03,4.478,8,15.673,ok
2021-04,71.661,8,21.887,ok
2021-05,-11.757,8,20.708,ok
2021-06,-6.950,8,20.187,ok
2021-07,6.239,8,19.431,ok
2021-08,29.159,8,21.124,ok
2021-09,-4.777,8,20.926,ok
2021-10,-1.412,8,20.615,ok
2021-11,-3.341,8,19.070,ok
2021-12,8.831,8,19.347,ok
2022-01,7.432,8,14.036,ok
2022-02,-8.350,8,7.601,ok
2022-03,2.836,8,7.464,ok
2022-04,-1.801,8,1.342,ok
2022-05,12.755,8,3.385,ok
2022-06,4.742,8,4.360,ok
2022-07,-2.583,8,3.624,ok
2022-08,0.104,8,1.203,ok
2022-09,-0.930,8,1.524,ok
2022-10,2.431,8,1.844,ok
2022-11,-10.168,8,1.275,ok
2022-12,1.191,8,0.638,ok
2023-01,0.592,8,0.068,ok
2023-02,-6.101,8,0.256,ok
2023-03,0.058,8,0.024,ok
2023-04,-0.882,8,0.101,ok
2023-05,-0.835,8,-1.032,ALARM
2023-06,-0.314,8,-1.453,ALARM
2023-07,-1.673,8,-1.377,ALARM
2023-08,3.743,8,-1.074,ALARM
2023-09,-0.519,8,-1.040,ALARM
2023-10,11.152,8,-0.313,ALARM
2023-11,9.703,8,1.343,ok
2023-12,8.396,8,1.943,ok
2024-01,-3.745,8,1.582,ok
2024-02,6.771,8,2.655,ok
2024-03,12.633,8,3.703,ok
2024-04,4.935,8,4.187,ok
2024-05,-5.738,8,3.779,ok
2024-06,-1.672,8,3.666,ok
2024-07,-3.361,8,3.525,ok
2024-08,-7.767,8,2.566,ok
2024-09,-8.902,8,1.867,ok
2024-10,-0.624,8,0.886,ok
2024-11,60.043,8,5.081,ok
2024-12,-0.317,8,4.355,ok
2025-01,-13.076,8,3.577,ok
2025-02,9.902,8,3.838,ok
2025-03,-12.196,8,1.769,ok
2025-04,-5.801,8,0.874,ok
2025-05,3.598,8,1.652,ok
2025-06,-4.195,8,1.442,ok
2025-07,-1.361,8,1.609,ok
2025-08,3.506,8,2.548,ok
2025-09,-2.818,8,3.055,ok
2025-10,3.638,8,3.410,ok
2025-11,11.484,8,-0.636,ALARM
2025-12,3.300,8,-0.335,ALARM
2026-01,-6.845,8,0.184,ok
2026-02,6.917,8,-0.064,ALARM
2026-03,-8.613,8,0.234,ok
2026-04,-4.889,8,0.310,ok
2026-05,1.224,8,0.112,ok
2026-06,10.167,8,1.309,ok
2026-07,-7.406,8,0.805,ok
