run_at,source,command,symbol,interval,strategy,params,window_start,window_end,setups,wins,losses,win_rate_pct,profit_factor,total_pnl_pct,avg_pnl_pct,max_dd_pct,fee_bps,notes
2026-07-14,local-replay,replay:raw,BTCUSDT,5m,sma-cross,"{""fast"":9,""slow"":21,""horizon"":12,""memoryFilter"":false}",2026-07-12 (approx),2026-07-14 (approx),20,9,11,45,,0.14,0.007,,10,First verification run; run time approximate; summary metrics from session notes (full table not retained); pre-FEE_BPS-bump at 10 bps
2026-07-14,local-replay,replay:memory,BTCUSDT,5m,sma-cross,"{""fast"":9,""slow"":21,""horizon"":12,""memoryFilter"":true,""memoryMinLosses"":2}",2026-07-12 (approx),2026-07-14 (approx),,,,,,,,,10,Memory-enabled look at the same window; skipped setups would have netted +0.376% so memory HURT this window (reported honestly); full metrics not retained
2026-07-15T03:33:00Z,local-replay,replay:raw,BTCUSDT,5m,sma-cross,"{""fast"":9,""slow"":21,""horizon"":12,""memoryFilter"":false}",2026-07-13T09:59Z,2026-07-15T03:29Z,22,4,18,18.2,0.1821,-5.683,-0.258,5.683,30,Post FEE_BPS=30 bump; ledger and learnings reseeded from this run after memory:reset
2026-07-15T03:37:00Z,tradingview-mcp,tv-strategy-tester,BINANCE:BTCUSDT,5m,sma-cross-pine,"{""fast"":9,""slow"":21,""shorts"":true,""timeExit"":false,""window"":""full""}",2026-06-21T23:20Z,2026-07-15T03:35Z,362,100,262,27.62,0.6239,-3.228,-0.0892,3.886,10,TV Strategy Tester via MCP; net% on 100k equity; avg% per ~10k position (10% equity sizing); 0.05%/side commission; fills at signal-bar close; details in trading_bot_instructions.md §3
2026-07-15T03:38:00Z,tradingview-mcp,tv-strategy-tester,BINANCE:BTCUSDT,5m,sma-cross-pine,"{""fast"":9,""slow"":21,""shorts"":true,""timeExit"":false,""window"":""in-sample""}",2026-06-21T23:20Z,2026-07-08T00:00Z,251,75,176,29.88,0.6659,-2.12,-0.0845,2.714,10,TV Strategy Tester via MCP; net% on 100k equity; avg% per ~10k position; IS window of the 70/30 split
2026-07-15T03:39:00Z,tradingview-mcp,tv-strategy-tester,BINANCE:BTCUSDT,5m,sma-cross-pine,"{""fast"":9,""slow"":21,""shorts"":true,""timeExit"":false,""window"":""out-of-sample""}",2026-07-08T00:00Z,2026-07-15T03:35Z,112,26,86,23.21,0.5194,-1.0817,-0.0966,1.4086,10,TV Strategy Tester via MCP; net% on 100k equity; avg% per ~10k position; OOS window — no tuning after seeing this run
2026-07-15T03:40:00Z,tradingview-mcp,tv-strategy-tester,BINANCE:BTCUSDT,5m,sma-cross-pine,"{""fast"":9,""slow"":21,""shorts"":false,""timeExit"":false,""window"":""in-sample""}",2026-06-21T23:20Z,2026-07-08T00:00Z,125,37,88,29.6,0.6489,-1.0959,-0.0877,1.3565,10,TV Strategy Tester via MCP; long-only variant; net% on 100k equity; avg% per ~10k position
2026-07-15T03:41:00Z,tradingview-mcp,tv-strategy-tester,BINANCE:BTCUSDT,5m,sma-cross-pine,"{""fast"":9,""slow"":21,""shorts"":false,""timeExit"":false,""window"":""out-of-sample""}",2026-07-08T00:00Z,2026-07-15T03:35Z,56,14,42,25,0.6037,-0.4663,-0.0833,0.7262,10,TV Strategy Tester via MCP; long-only variant; net% on 100k equity; avg% per ~10k position
2026-07-15T03:42:00Z,tradingview-mcp,tv-strategy-tester,BINANCE:BTCUSDT,5m,sma-cross-pine,"{""fast"":9,""slow"":21,""shorts"":true,""timeExit"":true,""exitBars"":12,""window"":""in-sample""}",2026-06-21T23:20Z,2026-07-08T00:00Z,251,89,162,35.46,0.5438,-2.4193,-0.0964,2.7001,10,TV Strategy Tester via MCP; 12-bar time-exit variant mirroring the bot horizon; net% on 100k equity; avg% per ~10k position
2026-07-15T03:43:00Z,tradingview-mcp,tv-strategy-tester,BINANCE:BTCUSDT,5m,sma-cross-pine,"{""fast"":9,""slow"":21,""shorts"":true,""timeExit"":true,""exitBars"":12,""window"":""out-of-sample""}",2026-07-08T00:00Z,2026-07-15T03:35Z,112,30,82,26.79,0.4751,-1.0001,-0.0893,1.1126,10,TV Strategy Tester via MCP; 12-bar time-exit variant; net% on 100k equity; avg% per ~10k position
2026-07-15T04:02:05.519Z,local-replay,replay:raw,BTCUSDT,5m,sma-cross,"{""fast"":9,""slow"":21,""horizon"":12,""memoryFilter"":false,""memoryMinLosses"":2}",2026-07-13T10:29:59.999Z,2026-07-15T03:59:59.999Z,22,9,13,40.9091,0.6593,-1.2826,-0.0583,2.549,10,"1 incomplete setups excluded; per-setup study, non-compounding"
2026-07-15T15:50:54.449Z,local-replay,replay:raw,BTCUSDT,5m,sma-cross,"{""fast"":9,""slow"":21,""horizon"":12,""memoryFilter"":false,""memoryMinLosses"":2,""regime"":""off""}",2026-06-24T19:59:59.999Z,2026-07-15T15:49:59.999Z,330,61,269,18.4848,0.1655,-94.0112,-0.2849,94.0112,30,"0 incomplete setups excluded; per-setup study, non-compounding"
2026-07-15T15:50:57.562Z,local-replay,replay:raw,BTCUSDT,5m,sma-cross,"{""fast"":9,""slow"":21,""horizon"":12,""memoryFilter"":false,""memoryMinLosses"":2,""regime"":""off""}",2026-06-24T19:59:59.999Z,2026-07-15T15:49:59.999Z,330,125,205,37.8788,0.5688,-28.0112,-0.0849,28.7538,10,"0 incomplete setups excluded; per-setup study, non-compounding"
2026-07-15T15:51:15.578Z,local-replay,replay:raw,BTCUSDT,5m,sma-cross,"{""fast"":9,""slow"":21,""horizon"":12,""memoryFilter"":false,""memoryMinLosses"":2,""regime"":""1h-sma50""}",2026-06-24T19:59:59.999Z,2026-07-15T15:49:59.999Z,151,28,123,18.543,0.1789,-41.4874,-0.2748,41.7351,30,"0 incomplete setups excluded; per-setup study, non-compounding; 179 setups filtered by regime"
2026-07-15T15:51:18.767Z,local-replay,replay:raw,BTCUSDT,5m,sma-cross,"{""fast"":9,""slow"":21,""horizon"":12,""memoryFilter"":false,""memoryMinLosses"":2,""regime"":""1h-sma50""}",2026-06-24T19:59:59.999Z,2026-07-15T15:49:59.999Z,151,54,97,35.7616,0.602,-11.2874,-0.0748,13.1429,10,"0 incomplete setups excluded; per-setup study, non-compounding; 179 setups filtered by regime"
2026-07-15T15:51:37.930Z,local-replay,replay:raw,BTCUSDT,5m,sma-cross,"{""fast"":9,""slow"":21,""horizon"":12,""memoryFilter"":false,""memoryMinLosses"":2,""regime"":""1h-sma200""}",2026-06-24T19:59:59.999Z,2026-07-15T15:49:59.999Z,162,31,131,19.1358,0.1656,-44.168,-0.2726,44.4156,30,"0 incomplete setups excluded; per-setup study, non-compounding; 168 setups filtered by regime"
2026-07-15T15:51:41.229Z,local-replay,replay:raw,BTCUSDT,5m,sma-cross,"{""fast"":9,""slow"":21,""horizon"":12,""memoryFilter"":false,""memoryMinLosses"":2,""regime"":""1h-sma200""}",2026-06-24T19:59:59.999Z,2026-07-15T15:49:59.999Z,162,65,97,40.1235,0.6083,-11.768,-0.0726,13.6235,10,"0 incomplete setups excluded; per-setup study, non-compounding; 168 setups filtered by regime"
2026-07-15T16:04:00Z,tradingview-mcp,tv-strategy-tester,BINANCE:BTCUSDT,5m,sma-cross-pine,"{""fast"":9,""slow"":21,""shorts"":true,""timeExit"":false,""regime"":""1h-sma50"",""window"":""in-sample""}",2026-06-22 (data start),2026-07-08T00:00Z,121,38,83,31.4,0.7407,-0.8537,-0.0706,1.4485,10,Trial 02 variant A; TV Strategy Tester via MCP; net% on 100k equity; avg% per ~10k position
2026-07-15T16:05:00Z,tradingview-mcp,tv-strategy-tester,BINANCE:BTCUSDT,5m,sma-cross-pine,"{""fast"":9,""slow"":21,""shorts"":true,""timeExit"":false,""regime"":""1h-sma50"",""window"":""out-of-sample""}",2026-07-08T00:00Z,2026-07-15T16:00Z,57,17,40,29.82,0.6925,-0.3316,-0.0582,0.6248,10,Trial 02 variant A OOS — FAILS gate (PF>1.1); no tuning after this run
2026-07-15T16:06:00Z,tradingview-mcp,tv-strategy-tester,BINANCE:BTCUSDT,5m,sma-cross-pine,"{""fast"":9,""slow"":21,""shorts"":true,""timeExit"":false,""regime"":""1h-sma200"",""window"":""in-sample""}",2026-06-22 (data start),2026-07-08T00:00Z,123,39,84,31.71,0.8141,-0.6086,-0.0495,1.3836,10,Trial 02 variant B; TV Strategy Tester via MCP; net% on 100k equity; avg% per ~10k position
2026-07-15T16:07:00Z,tradingview-mcp,tv-strategy-tester,BINANCE:BTCUSDT,5m,sma-cross-pine,"{""fast"":9,""slow"":21,""shorts"":true,""timeExit"":false,""regime"":""1h-sma200"",""window"":""out-of-sample""}",2026-07-08T00:00Z,2026-07-15T16:00Z,58,14,44,24.14,0.4505,-0.6925,-0.1194,0.8482,10,Trial 02 variant B OOS — FAILS gate; IS PF 0.81 collapsed to 0.45 OOS (classic in-sample mirage)
2026-07-15T16:09:52.093Z,local-replay,replay:raw,BTCUSDT,5m,donchian-breakout INTERVAL=1h REPLAY_CANDLES=9600 EVAL_HORIZON=24 FEE_BPS=30 REPLAY_WRITE_MEMORY=false,"{""fast"":9,""slow"":21,""horizon"":12,""memoryFilter"":false,""memoryMinLosses"":2,""regime"":""off""}",2026-03-17T16:36:00Z,2026-07-15T16:04:59.999Z,24,11,13,45.8333,0.6614,-1.3795,-0.0575,1.9636,10,"0 incomplete setups excluded; per-setup study, non-compounding"
2026-07-15T16:09:54.887Z,local-replay,replay:raw,BTCUSDT,5m,donchian-breakout INTERVAL=1h REPLAY_CANDLES=9600 EVAL_HORIZON=24 FEE_BPS=30 REPLAY_WRITE_MEMORY=false,"{""fast"":9,""slow"":21,""horizon"":12,""memoryFilter"":false,""memoryMinLosses"":2,""regime"":""off""}",2026-03-17T16:36:00Z,2026-07-15T16:04:59.999Z,24,11,13,45.8333,0.6614,-1.3795,-0.0575,1.9636,10,"0 incomplete setups excluded; per-setup study, non-compounding"
2026-07-15T16:09:57.528Z,local-replay,replay:raw,BTCUSDT,5m,donchian-breakout INTERVAL=1h REPLAY_CANDLES=9600 EVAL_HORIZON=24 FEE_BPS=30 REPLAY_WRITE_MEMORY=false,"{""fast"":9,""slow"":21,""horizon"":12,""memoryFilter"":false,""memoryMinLosses"":2,""regime"":""off""}",2026-03-17T16:36:00Z,2026-07-15T16:04:59.999Z,24,11,13,45.8333,0.6614,-1.3795,-0.0575,1.9636,10,"0 incomplete setups excluded; per-setup study, non-compounding"
2026-07-15T16:10:00.410Z,local-replay,replay:raw,ETHUSDT,5m,donchian-breakout INTERVAL=1h REPLAY_CANDLES=9600 EVAL_HORIZON=24 FEE_BPS=30 REPLAY_WRITE_MEMORY=false,"{""fast"":9,""slow"":21,""horizon"":12,""memoryFilter"":false,""memoryMinLosses"":2,""regime"":""off""}",2026-03-17T16:36:00Z,2026-07-15T16:09:59.999Z,24,11,13,45.8333,0.3884,-3.8501,-0.1604,3.9572,10,"0 incomplete setups excluded; per-setup study, non-compounding"
2026-07-15T16:10:03.566Z,local-replay,replay:raw,ETHUSDT,5m,donchian-breakout INTERVAL=1h REPLAY_CANDLES=9600 EVAL_HORIZON=24 FEE_BPS=30 REPLAY_WRITE_MEMORY=false,"{""fast"":9,""slow"":21,""horizon"":12,""memoryFilter"":false,""memoryMinLosses"":2,""regime"":""off""}",2026-03-17T16:36:00Z,2026-07-15T16:09:59.999Z,24,11,13,45.8333,0.3884,-3.8501,-0.1604,3.9572,10,"0 incomplete setups excluded; per-setup study, non-compounding"
2026-07-15T16:10:06.328Z,local-replay,replay:raw,ETHUSDT,5m,donchian-breakout INTERVAL=1h REPLAY_CANDLES=9600 EVAL_HORIZON=24 FEE_BPS=30 REPLAY_WRITE_MEMORY=false,"{""fast"":9,""slow"":21,""horizon"":12,""memoryFilter"":false,""memoryMinLosses"":2,""regime"":""off""}",2026-03-17T16:36:00Z,2026-07-15T16:09:59.999Z,24,11,13,45.8333,0.3884,-3.8501,-0.1604,3.9572,10,"0 incomplete setups excluded; per-setup study, non-compounding"
2026-07-15T16:10:09.315Z,local-replay,replay:raw,SOLUSDT,5m,donchian-breakout INTERVAL=1h REPLAY_CANDLES=9600 EVAL_HORIZON=24 FEE_BPS=30 REPLAY_WRITE_MEMORY=false,"{""fast"":9,""slow"":21,""horizon"":12,""memoryFilter"":false,""memoryMinLosses"":2,""regime"":""off""}",2026-03-17T16:36:00Z,2026-07-15T16:09:59.999Z,27,13,14,48.1481,0.7328,-1.8142,-0.0672,4.1555,10,"2 incomplete setups excluded; per-setup study, non-compounding"
2026-07-15T16:10:11.969Z,local-replay,replay:raw,SOLUSDT,5m,donchian-breakout INTERVAL=1h REPLAY_CANDLES=9600 EVAL_HORIZON=24 FEE_BPS=30 REPLAY_WRITE_MEMORY=false,"{""fast"":9,""slow"":21,""horizon"":12,""memoryFilter"":false,""memoryMinLosses"":2,""regime"":""off""}",2026-03-17T16:36:00Z,2026-07-15T16:09:59.999Z,27,13,14,48.1481,0.7328,-1.8142,-0.0672,4.1555,10,"2 incomplete setups excluded; per-setup study, non-compounding"
2026-07-15T16:10:14.567Z,local-replay,replay:raw,SOLUSDT,5m,donchian-breakout INTERVAL=1h REPLAY_CANDLES=9600 EVAL_HORIZON=24 FEE_BPS=30 REPLAY_WRITE_MEMORY=false,"{""fast"":9,""slow"":21,""horizon"":12,""memoryFilter"":false,""memoryMinLosses"":2,""regime"":""off""}",2026-03-17T16:36:00Z,2026-07-15T16:09:59.999Z,27,13,14,48.1481,0.7328,-1.8142,-0.0672,4.1555,10,"2 incomplete setups excluded; per-setup study, non-compounding"
2026-07-15T16:11:39.762Z,local-replay,replay:raw,BTCUSDT,1h,donchian-breakout,"{""len"":20,""horizon"":24,""trendAlign"":""off"",""longOnly"":false,""memoryFilter"":false}",2025-06-10T17:59:59.999Z,2026-03-17T16:36:00Z,445,190,255,42.6966,0.6487,-156.3222,-0.3513,166.3219,30,"1 incomplete setups excluded; per-setup study, non-compounding"
2026-07-15T16:11:43.665Z,local-replay,replay:raw,BTCUSDT,1h,donchian-breakout,"{""len"":20,""horizon"":24,""trendAlign"":""off"",""longOnly"":false,""memoryFilter"":false}",2026-03-17T16:36:00Z,2026-07-15T15:59:59.999Z,185,91,94,49.1892,0.7803,-37.4745,-0.2026,70.548,30,"0 incomplete setups excluded; per-setup study, non-compounding"
2026-07-15T16:11:47.985Z,local-replay,replay:raw,BTCUSDT,1h,donchian-breakout,"{""len"":20,""horizon"":24,""trendAlign"":""sma200"",""longOnly"":false,""memoryFilter"":false}",2025-06-10T17:59:59.999Z,2026-03-17T16:36:00Z,318,137,181,43.0818,0.6516,-114.4465,-0.3599,121.7091,30,"1 incomplete setups excluded; per-setup study, non-compounding"
2026-07-15T16:11:51.841Z,local-replay,replay:raw,BTCUSDT,1h,donchian-breakout,"{""len"":20,""horizon"":24,""trendAlign"":""sma200"",""longOnly"":false,""memoryFilter"":false}",2026-03-17T16:36:00Z,2026-07-15T15:59:59.999Z,139,71,68,51.0791,0.8728,-15.7752,-0.1135,46.0951,30,"0 incomplete setups excluded; per-setup study, non-compounding"
2026-07-15T16:11:55.517Z,local-replay,replay:raw,BTCUSDT,1h,donchian-breakout,"{""len"":20,""horizon"":24,""trendAlign"":""off"",""longOnly"":true,""memoryFilter"":false}",2025-06-10T17:59:59.999Z,2026-03-17T16:36:00Z,234,89,145,38.0342,0.4624,-132.9576,-0.5682,144.4114,30,"1 incomplete setups excluded; per-setup study, non-compounding"
2026-07-15T16:11:59.619Z,local-replay,replay:raw,BTCUSDT,1h,donchian-breakout,"{""len"":20,""horizon"":24,""trendAlign"":""off"",""longOnly"":true,""memoryFilter"":false}",2026-03-17T16:36:00Z,2026-07-15T15:59:59.999Z,84,41,43,48.8095,0.6269,-23.194,-0.2761,29.4478,30,"0 incomplete setups excluded; per-setup study, non-compounding"
2026-07-15T16:12:03.322Z,local-replay,replay:raw,ETHUSDT,1h,donchian-breakout,"{""len"":20,""horizon"":24,""trendAlign"":""off"",""longOnly"":false,""memoryFilter"":false}",2025-06-10T17:59:59.999Z,2026-03-17T16:36:00Z,419,195,224,46.5394,0.9412,-34.3863,-0.0821,132.1497,30,"2 incomplete setups excluded; per-setup study, non-compounding"
2026-07-15T16:12:07.088Z,local-replay,replay:raw,ETHUSDT,1h,donchian-breakout,"{""len"":20,""horizon"":24,""trendAlign"":""off"",""longOnly"":false,""memoryFilter"":false}",2026-03-17T16:36:00Z,2026-07-15T15:59:59.999Z,166,72,94,43.3735,0.5841,-94.4144,-0.5688,112.4891,30,"1 incomplete setups excluded; per-setup study, non-compounding"
2026-07-15T16:12:11.219Z,local-replay,replay:raw,ETHUSDT,1h,donchian-breakout,"{""len"":20,""horizon"":24,""trendAlign"":""sma200"",""longOnly"":false,""memoryFilter"":false}",2025-06-10T17:59:59.999Z,2026-03-17T16:36:00Z,307,144,163,46.9055,0.9638,-15.4115,-0.0502,129.3221,30,"2 incomplete setups excluded; per-setup study, non-compounding"
2026-07-15T16:12:15.286Z,local-replay,replay:raw,ETHUSDT,1h,donchian-breakout,"{""len"":20,""horizon"":24,""trendAlign"":""sma200"",""longOnly"":false,""memoryFilter"":false}",2026-03-17T16:36:00Z,2026-07-15T15:59:59.999Z,120,50,70,41.6667,0.604,-66.0291,-0.5502,81.1766,30,"1 incomplete setups excluded; per-setup study, non-compounding"
2026-07-15T16:12:19.161Z,local-replay,replay:raw,ETHUSDT,1h,donchian-breakout,"{""len"":20,""horizon"":24,""trendAlign"":""off"",""longOnly"":true,""memoryFilter"":false}",2025-06-10T17:59:59.999Z,2026-03-17T16:36:00Z,222,97,125,43.6937,0.9093,-28.1211,-0.1267,121.7807,30,"2 incomplete setups excluded; per-setup study, non-compounding"
2026-07-15T16:12:22.878Z,local-replay,replay:raw,ETHUSDT,1h,donchian-breakout,"{""len"":20,""horizon"":24,""trendAlign"":""off"",""longOnly"":true,""memoryFilter"":false}",2026-03-17T16:36:00Z,2026-07-15T15:59:59.999Z,75,30,45,40,0.5726,-42.306,-0.5641,65.8177,30,"1 incomplete setups excluded; per-setup study, non-compounding"
2026-07-15T16:12:26.503Z,local-replay,replay:raw,SOLUSDT,1h,donchian-breakout,"{""len"":20,""horizon"":24,""trendAlign"":""off"",""longOnly"":false,""memoryFilter"":false}",2025-06-10T17:59:59.999Z,2026-03-17T16:36:00Z,454,232,222,51.1013,0.9292,-52.3074,-0.1152,119.0268,30,"1 incomplete setups excluded; per-setup study, non-compounding"
2026-07-15T16:12:30.423Z,local-replay,replay:raw,SOLUSDT,1h,donchian-breakout,"{""len"":20,""horizon"":24,""trendAlign"":""off"",""longOnly"":false,""memoryFilter"":false}",2026-03-17T16:36:00Z,2026-07-15T15:59:59.999Z,181,80,101,44.1989,0.6782,-85.0259,-0.4698,94.3932,30,"1 incomplete setups excluded; per-setup study, non-compounding"
2026-07-15T16:12:34.407Z,local-replay,replay:raw,SOLUSDT,1h,donchian-breakout,"{""len"":20,""horizon"":24,""trendAlign"":""sma200"",""longOnly"":false,""memoryFilter"":false}",2025-06-10T17:59:59.999Z,2026-03-17T16:36:00Z,327,158,169,48.318,0.8021,-114.4608,-0.35,171.7841,30,"1 incomplete setups excluded; per-setup study, non-compounding"
2026-07-15T16:12:38.389Z,local-replay,replay:raw,SOLUSDT,1h,donchian-breakout,"{""len"":20,""horizon"":24,""trendAlign"":""sma200"",""longOnly"":false,""memoryFilter"":false}",2026-03-17T16:36:00Z,2026-07-15T15:59:59.999Z,135,60,75,44.4444,0.7159,-56.1223,-0.4157,80.0076,30,"1 incomplete setups excluded; per-setup study, non-compounding"
2026-07-15T16:12:41.944Z,local-replay,replay:raw,SOLUSDT,1h,donchian-breakout,"{""len"":20,""horizon"":24,""trendAlign"":""off"",""longOnly"":true,""memoryFilter"":false}",2025-06-10T17:59:59.999Z,2026-03-17T16:36:00Z,237,125,112,52.7426,0.975,-9.1179,-0.0385,98.4266,30,"1 incomplete setups excluded; per-setup study, non-compounding"
2026-07-15T16:12:45.909Z,local-replay,replay:raw,SOLUSDT,1h,donchian-breakout,"{""len"":20,""horizon"":24,""trendAlign"":""off"",""longOnly"":true,""memoryFilter"":false}",2026-03-17T16:36:00Z,2026-07-15T15:59:59.999Z,85,35,50,41.1765,0.7034,-34.1086,-0.4013,57.1211,30,"1 incomplete setups excluded; per-setup study, non-compounding"
2026-07-15T16:13:22.742Z,local-replay,replay:raw,BTCUSDT,1h,donchian-breakout,"{""len"":20,""horizon"":24,""trendAlign"":""off"",""longOnly"":false,""memoryFilter"":false}",2026-03-17T16:36:00Z,2026-07-15T15:59:59.999Z,185,94,91,50.8108,0.9969,-0.4745,-0.0026,51.9942,10,"0 incomplete setups excluded; per-setup study, non-compounding"
2026-07-15T16:13:26.842Z,local-replay,replay:raw,BTCUSDT,1h,donchian-breakout,"{""len"":20,""horizon"":24,""trendAlign"":""sma200"",""longOnly"":false,""memoryFilter"":false}",2026-03-17T16:36:00Z,2026-07-15T15:59:59.999Z,139,73,66,52.518,1.1087,12.0248,0.0865,32.6974,10,"0 incomplete setups excluded; per-setup study, non-compounding"
2026-07-15T16:13:30.500Z,local-replay,replay:raw,BTCUSDT,1h,donchian-breakout,"{""len"":20,""horizon"":24,""trendAlign"":""off"",""longOnly"":true,""memoryFilter"":false}",2026-03-17T16:36:00Z,2026-07-15T15:59:59.999Z,84,43,41,51.1905,0.8809,-6.394,-0.0761,15.6918,10,"0 incomplete setups excluded; per-setup study, non-compounding"
2026-07-15T16:24:05.937Z,local-replay,replay:raw,BTCUSDT,1d,tsmom,"{""lookback"":28,""horizon"":28,""longOnly"":false,""memoryFilter"":false}",2017-08-17T23:59:59.999Z,2023-11-12T02:24:00Z,175,88,87,50.2857,1.1072,144.483,0.8256,132.1398,30,"0 incomplete setups excluded; per-setup study, non-compounding"
2026-07-15T16:24:08.277Z,local-replay,replay:raw,BTCUSDT,1d,tsmom,"{""lookback"":28,""horizon"":28,""longOnly"":false,""memoryFilter"":false}",2023-11-12T02:24:00Z,2026-07-14T23:59:59.999Z,95,48,47,50.5263,0.9982,-0.8891,-0.0094,72.4005,30,"4 incomplete setups excluded; per-setup study, non-compounding"
2026-07-15T16:24:10.564Z,local-replay,replay:raw,BTCUSDT,1d,sma-cross,"{""fast"":1,""slow"":100,""horizon"":28,""memoryFilter"":false,""memoryMinLosses"":2,""regime"":""off""}",2017-08-17T23:59:59.999Z,2023-11-12T02:24:00Z,73,41,32,56.1644,1.0425,25.1522,0.3446,59.5165,30,"1 incomplete setups excluded; per-setup study, non-compounding"
2026-07-15T16:24:12.756Z,local-replay,replay:raw,BTCUSDT,1d,sma-cross,"{""fast"":1,""slow"":100,""horizon"":28,""memoryFilter"":false,""memoryMinLosses"":2,""regime"":""off""}",2023-11-12T02:24:00Z,2026-07-14T23:59:59.999Z,41,21,20,51.2195,1.18,31.7701,0.7749,43.6862,30,"0 incomplete setups excluded; per-setup study, non-compounding"
